Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Running","2022-01-10 13:11","2022-01-10 14:24","1:12:18","13,460010942174122","163,36960113287702","175","0:05:22","11,167621804814958",,"974,2399999999989","1108,2950000000017","266,78000000000003",,"3,9999998940362502","82"
"Outdoor Running","2022-01-08 10:45","2022-01-08 11:45","1:00:22","10,652094098217786","150,5672613990371","190","0:05:40","10,587382922607722",,"693,4950000000009","807,5860000000031","75,17",,"0,999999973509091","96"
"Outdoor Running","2022-01-04 13:50","2022-01-04 14:38","0:48:42","9,120131564199925","145,80182392143107","160","0:05:20","11,235771683264772",,"584,859999999999","681,3770000000004","26,21",,"5,9999998410543185","93"
"Outdoor Running","2021-12-31 12:32","2021-12-31 13:20","0:48:31","9,545053896639496","155,55649419218585","166","0:05:04","11,803589369666515",,"615,610999999998","710,5559999999994","30,2",,"11,99999968210858","87"
"Outdoor Running","2021-12-30 15:49","2021-12-30 16:57","1:08:28","13,628711377449333","170,8885564697083","183","0:05:01","11,941623771955175",,"988,1589999999992","1116,3950000000018","260,42",,"15,999999576144774","81"
"Outdoor Running","2021-12-29 14:11","2021-12-29 15:05","0:54:55","10,635038423111663","160,66915422885572","171","0:05:09","11,61833598611802",,"703,0850000000012","809,0530000000031","72,22",,"7,999999788072387","89"
"Outdoor Running","2021-12-28 13:55","2021-12-28 14:51","0:56:12","10,880440997106955","159,58927483241925","187","0:05:10","11,612765202988212",,"714,9310000000011","822,543000000003","77,34",,"7,999999788072387","97"
"Outdoor Running","2021-12-22 13:57","2021-12-22 14:50","0:53:04","10,39903746727854","153,89271907216494","166","0:05:06","11,756882933632948",,"670,7739999999998","774,9860000000015","42,230000000000004",,"0,00000000000005684341886080802","78"
"Outdoor Running","2021-12-16 14:33","2021-12-16 15:19","0:45:22","9,05081451672502","152,99623777276148","161","0:05:00","11,967141315317118",,"576,5339999999975","669,4759999999987","21,51",,"7,999999788072387","88"
"Outdoor Running","2021-12-14 12:07","2021-12-14 13:12","1:04:51","12,689702469587326","165,25019731649567","175","0:05:06","11,740364041921696",,"865,0220000000003","986,5120000000027","116,98",,,
"Outdoor Running","2021-12-10 11:05","2021-12-10 12:16","1:11:03","13,78324397389032","159,15637761229883","173","0:05:09","11,638824571095503",,"994,3689999999984","1126,2400000000011","275,96",,,
"Skating Sports","2021-12-07 14:26","2021-12-07 15:58","1:31:13",,"122,78785046728972","158",,,,"706,6929999999985","867,1390000000031",,,,
"Outdoor Running","2021-12-05 15:41","2021-12-05 16:36","0:54:16","10,628146537521854","152,44133375275243","163","0:05:06","11,749021489677316",,"695,0139999999994","801,1110000000012","71,84",,,
"Skating Sports","2021-12-02 15:26","2021-12-02 16:19","0:53:00",,"105,96422764227643","139",,,,"288,9040000000025","392,1220000000042",,,,
"Outdoor Running","2021-11-30 15:01","2021-11-30 16:11","1:09:59","13,540662345284597","163,92707317073172","173","0:05:10","11,608115791310203",,"984,809999999999","1114,4280000000017","278,32",,,
"Outdoor Running","2021-11-27 12:23","2021-11-27 13:40","1:12:58","13,488449614934257","154,85419244361722","171","0:05:24","11,090999480431181",,"985,3530000000042","1124,115000000007","275,81",,,
"Outdoor Running","2021-11-20 15:37","2021-11-20 16:52","1:14:11","13,310083443109038","160,1912103083295","173","0:05:34","10,764241401507602",,"960,7329999999995","1096,6750000000025","271,6",,,
"Outdoor Running","2021-11-16 16:00","2021-11-16 16:37","0:37:39","5,456175749996677","131,95311788802914","166","0:06:54","8,692748171071141",,"376,35200000000003","453,6020000000008","21,73",,,
"Hiking","2021-11-14 11:28","2021-11-14 13:09","1:41:20","3,974519399661571","75,7751677852349","112","0:25:29","2,3530000173843555",,"278,9219999999985","458,7100000000031","129,06",,,
"Outdoor Running","2021-11-13 13:08","2021-11-13 13:32","0:24:31","2,4383155459102355","109,96033402922755","140","0:10:03","5,96348854440794",,"175,67099999999994","236,008","2,7800000000000002",,,
"Outdoor Running","2021-11-12 15:37","2021-11-12 16:53","1:10:40","11,663322973271832","130,0283464566929","156","0:06:03","9,902612431248826",,"762,8459999999997","902,2680000000025","40,14",,,
"Outdoor Running","2021-11-09 13:25","2021-11-09 14:37","1:11:22","13,294710897006095","159,43945545736804","175","0:05:22","11,175425432336759",,"970,084000000001","1100,0690000000038","274,02",,,
"Outdoor Running","2021-11-05 14:56","2021-11-05 15:50","0:53:59","10,594189025027678","161,41827379070503","169","0:05:05","11,771617634664578",,"693,9499999999999","798,9870000000017","68,68",,,
"Outdoor Running","2021-11-01 11:48","2021-11-01 13:38","1:50:08","17,02439896657797","148,83598947857033","170","0:06:28","9,273753150842982",,"1267,5849999999991","1460,4360000000042","361,53000000000003",,"11,99999968210858","81"
"Outdoor Running","2021-10-26 12:04","2021-10-26 13:19","1:15:07","13,383278926626437","157,99931911030413","173","0:05:36","10,689080706686983",,"974,386","1109,183000000003","265,25",,"11,99999968210858","84"
"Outdoor Running","2021-10-22 09:58","2021-10-22 10:42","0:44:21","9,03686953481473","158,18206312548114","168","0:04:54","12,22439043405511",,"574,6650000000002","664,0460000000014","27,12",,"4,999999867545284","90"
"Outdoor Running","2021-10-18 12:31","2021-10-18 13:25","0:54:00","10,269149207700975","157,9582806573957","170","0:05:15","11,409964499089176",,"715,0829999999986","820,3530000000004","140,23",,"10,999999708599546","84"
"Outdoor Running","2021-10-14 09:56","2021-10-14 10:41","0:45:10","8,98386294530458","157,7041934265206","166","0:05:01","11,933537385771773",,"579,5299999999983","670,5879999999995","16,69",,"7,999999788072387","93"
"Outdoor Running","2021-10-12 12:10","2021-10-12 13:15","1:02:17","12,030714083393104","161,94438614900315","174","0:05:10","11,588104382876288",,"825,9529999999997","945,771000000002","112,09",,"10,999999708599546","93"
"Outdoor Cycling","2021-10-08 16:32","2021-10-08 18:10","0:31:50","14,016610932784516","106,3245382585752","168","0:02:16","26,408779267673356",,"357,8280000000005","520,0630000000016","10,64",,"15,999999576144774","68"
"Outdoor Running","2021-10-07 10:18","2021-10-07 11:35","1:16:43","13,360424179480411","163,02089353189598","175","0:05:44","10,449157215378756",,"972,7090000000024","1112,9400000000055","264,14",,"10,999999708599546","94"
"Outdoor Running","2021-10-03 11:08","2021-10-03 11:56","0:47:34","9,054094935220666","159,9827709978464","173","0:05:15","11,418329332892066",,"585,7490000000004","678,2190000000018","22,93",,"17,9999995231629","62"
"Skating Sports","2021-09-23 14:51","2021-09-23 17:07","1:21:49",,"116,73522165055796","141,2345483359746",,,,"590,5390000000001","803,205999999998",,,"19,999999470180967","57"
"Outdoor Walking","2021-09-18 11:14","2021-09-18 12:42","1:15:29","5,704825269744732","88,57292893812178","98,15644654088054","0:13:13","4,534142356607407",,"344,391","500,38699999999983","22,35",,"15,999999576144774","86"
"Outdoor Cycling","2021-09-14 17:08","2021-09-14 17:28","0:20:31","4,959190286745143","114,31941838430231","118,77728613569323","0:04:08","14,493474521503183",,"71,61599999999999","123,77899999999995","17,150000000000002",,"24,999999337726194","60"
"Outdoor Cycling","2021-09-14 15:35","2021-09-14 16:04","0:29:16","6,006269476105769","109,89967988407","116,92598425196852","0:04:52","12,308862276703708",,"90,697","150,589","25,07",,"25,99999931123523","57"
"Outdoor Cycling","2021-09-11 16:44","2021-09-11 18:21","0:47:01","10,164306323640933","95,89865436600525","119,97328244274816","0:04:37","12,967811565678698",,"164,434","319,63700000000017","37,62",,"20,99999944369","79"
"Outdoor Cycling","2021-09-08 16:03","2021-09-08 17:56","0:59:44","15,687234874354061","109,40511215132723","134,50313971742546","0:03:48","15,756929388197017",,"281,6689999999999","465,40999999999997","21,43",,"25,99999931123523","47"
"Outdoor Cycling","2021-09-03 16:28","2021-09-03 18:19","1:11:26","18,93513107200955","105,07821140259034","125,06354009077148","0:03:46","15,901953397111173",,"278,3159999999999","462,6449999999999","27,52",,"23,99999936421716","45"
"Outdoor Running","2021-08-28 08:00","2021-08-28 08:44","0:44:24","9,131093951942107","159,1482255223154","168,2320238442012","0:04:51","12,337979930578332",,"570,896","659,3619999999999","24,68",,"11,99999968210858","96"
"Outdoor Running","2021-08-22 11:44","2021-08-22 12:41","0:56:49","10,839161107165735","156,8092794887698","164,5938120720272","0:05:14","11,444712301985327",,"708,3220000000002","816,8040000000001","73,39",,"18,999999496671933","86"
"Pool Swimming","2021-08-21 14:17","2021-08-21 14:30","0:12:31","500","185,33333333333334","186","0:25:02","2,3960294534232704",,"144,55700000000002","185,54200000000003",,,,
"Pool Swimming","2021-08-21 11:54","2021-08-21 12:07","0:12:19","500","141,64880952380955","141,64880952380955","0:24:39","2,4333525719501377",,"128,3060000000001","167,9650000000001",,,,
"Outdoor Running","2021-08-19 12:38","2021-08-19 13:24","0:45:59","9,078859659292736","159,1144802631959","165,5000091872748","0:05:03","11,842764080910555",,"581,222","671,5939999999998","23,88",,"19,999999470180967","74"
"Outdoor Running","2021-08-17 09:07","2021-08-17 10:17","1:10:04","13,31159527576901","166,03833394226268","172,76934093726112","0:05:15","11,398690116184328",,"964,5749999999999","1093,2409999999998","264,5",,"12,999999655617671","86"
"Functional Strength Training","2021-08-13 22:31","2021-08-13 22:49","0:18:18",,"83,59701959782137","84,66630196936539",,,,"47,54400000000001","95,01799999999996",,,"21,999999417199092","81"
"Functional Strength Training","2021-08-11 21:04","2021-08-11 21:40","0:35:46",,"85,51070858707857","90,08692307692306",,,,"86,25500000000008","163,55800000000002",,,"22,999999390708126","63"
"Outdoor Running","2021-08-10 11:16","2021-08-10 12:51","1:07:50","10,47360594907138","132,6607489062623","162,16991759111392","0:06:28","9,262695828132376",,"708,4410000000001","873,8179999999999","30,34",,"19,999999470180967","67"
"Outdoor Running","2021-08-08 11:04","2021-08-08 12:01","0:56:54","10,121449196184985","157,96277514972422","166,08099284581195","0:05:37","10,671602947341624",,"670,4490000000002","779,398","66",,"17,9999995231629","70"
"Functional Strength Training","2021-07-25 21:24","2021-07-25 22:04","0:40:03",,"97,19254521561382","99,55391432791731",,,,"147,06699999999998","231,54699999999988",,,"21,999999417199092","73"
"Outdoor Running","2021-07-21 16:31","2021-07-21 17:20","0:49:14","9,531219529327398","158,6223234231063","167,12836685678587","0:05:09","11,614062156690217",,"614,61","709,7159999999999","28,73",,"23,99999936421716","45"
"Outdoor Running","2021-07-16 11:36","2021-07-16 12:51","1:14:31","13,06387515722122","165,9135130872695","177,7270005236012","0:05:42","10,518256286702208",,"963,804","1100,3629999999998","252,8",,"20,99999944369","82"
"Outdoor Cycling","2021-07-09 13:57","2021-07-09 16:51","1:19:41","19,35021851911278","97,81124181060397","138,87815750371473","0:04:07","14,569978596824608",,"517,8","888,8169999999805","49,2",,"18,999999496671933","79"
"Outdoor Cycling","2021-07-04 11:07","2021-07-04 11:23","0:15:43","4,980547677198862","139,05513671216718","140,85891472868215","0:03:09","18,994665452011308",,"144,35800000000003","190,45000000000002","59,69",,,
"Outdoor Cycling","2021-07-04 10:36","2021-07-04 10:48","0:11:50","2,1983502937902486","102,902600945674","121,2247823109284","0:05:23","11,133944450211402",,"65,88499999999998","104,31299999999999","15,09",,,
"Outdoor Cycling","2021-07-04 09:35","2021-07-04 09:55","0:19:30","6,526654934827508","122,73746105458906","124,21236133122024","0:02:59","20,07814538731076",,"137,62199999999996","188,34599999999992","9,700000000000001",,,
"Open Water Swimming","2021-07-03 15:30","2021-07-03 15:43","0:13:11","3,155621754664553","108,66666666666667","126",,"0,014350430812603189",,"138,225","176,70499999999996",,,,
"Outdoor Running","2021-07-02 21:19","2021-07-02 22:05","0:45:16","9,034826607423835","149,3335570696972","154,32215743965025","0:05:00","11,971135028588106",,"574,9839999999999","664,9849999999998","21",,"20,99999944369","63"
"Outdoor Cycling","2021-06-30 15:16","2021-06-30 15:50","0:33:58","6,729396146743726","147,25790701062147","156,93212757681837","0:05:02","11,8849590215548",,"269,68499999999995","341,8349999999999","236,49",,"18,999999496671933","71"
"Open Water Swimming","2021-06-26 15:14","2021-06-26 15:32","0:17:23","9,678668128785326","109,02286741542311","109,02286741542311",,"0,03339372696704792",,"175,06900000000007","223,75700000000006",,,,
"Outdoor Running","2021-06-25 20:25","2021-06-25 21:40","1:14:53","13,338774361104704","152,98338259070488","162,51410495887296","0:05:36","10,685294852787594",,"949,105","1083,8189999999997","258,08",,"20,99999944369","64"
"Outdoor Cycling","2021-06-23 21:24","2021-06-23 21:39","0:15:42","6,025683929808578","123,49589397089396","130,97692307692307","0:02:36","23,02046967101725",,"127,79299999999999","171,48999999999995","8,91",,"18,999999496671933","79"
"Outdoor Cycling","2021-06-23 19:41","2021-06-23 20:17","0:36:26","6,907088691715856","143,7967404585861","159,6008305688064","0:05:16","11,372753921286964",,"246,49099999999999","318,74099999999993","225,97",,"22,999999390708126","65"
"Open Water Swimming","2021-06-20 13:55","2021-06-20 14:06","0:10:56","12,567419913589536","144","166",,"0,0689564007037014",,"113,32600000000002","152,67600000000004",,,,
"Functional Strength Training","2021-06-19 20:35","2021-06-19 21:06","0:30:23",,"89,0755650586918","91,0103550295858",,,,"89,94300000000003","156,69299999999993",,,"29,999999205271422","49"
"Skating Sports","2021-06-19 09:40","2021-06-19 10:16","0:05:52",,"109,60808731710978","125,83573734552975",,,,"63,77400000000001","134,28800000000007",,,"24,999999337726194","64"
"Functional Strength Training","2021-06-12 21:48","2021-06-12 22:41","0:53:40",,"81,36217468701787","89,12109375000003",,,,"130,17400000000004","233,8449999999999",,,"19,999999470180967","58"
"Skating Sports","2021-04-01 11:45","2021-04-01 12:27","0:19:44",,"90,0516698395908","124,48818897637797",,,,"117,19200000000006","196,53800000000007",,,"14,99999960263574","57"
"Outdoor Running","2021-03-31 15:34","2021-03-31 16:18","0:43:55","8,903761254777201","159,74894838273065","165,2063586227945","0:04:55","12,16382149365081",,"575,424","665,4599999999999","29,03",,"22,999999390708126","30"
